Year,In,FeeIn,GIn,DIn,MIn,FIn,Out,FeeOut,GOut,DOut,MOut,FOut,Net
2015,12,82600000,1,4,4,3,10,59350000,1,3,2,4,23250000
2014,10,117000000,0,4,2,4,8,73870000,1,5,0,2,43130000
2013,9,48800000,1,5,2,1,8,28500000,0,2,3,3,20300000
2012,8,47800000,0,2,3,3,8,8000000,1,1,5,1,39800000
2011,8,56400000,2,2,4,0,10,19300000,0,5,3,2,37100000
2010,14,80000000,1,4,4,5,5,83100000,0,0,4,1,-3100000
2009,11,36000000,0,6,3,2,8,39800000,0,5,2,1,-3800000
2008,4,35500000,0,1,1,2,7,30250000,1,1,2,3,5250000
2007,8,66400000,0,2,4,2,8,29900000,2,0,4,2,36500000
2006,7,26040000,1,2,4,0,10,11600000,1,2,4,2,14440000
2005,10,34900000,1,3,3,3,9,13500000,1,2,3,3,21400000
2004,11,39800000,1,1,5,3,4,10500000,0,1,2,1,29300000
2003,4,10500000,1,1,1,1,0,6250000,0,0,0,0,4250000
2002,5,22700000,0,1,2,2,0,57500000,0,0,0,0,-34800000
