Year,Month,Type,Desc
2005,Mar,Manager,Kevin Keegan resigned; Stuart Pearce appointed
2007,Jul,Ownership,Thaksin Shinawatra become majority shareholder
2007,Jul,Manager,Stuart Pearce sacked; Sven-Goran Eriksson appointed
2008,Jun,Manager,Sven-Goran Eriksson sacked; Mark Hughes appointed
2008,Sep,Ownership,Sheikh Mansour become majority shareholder
2009,Dec,Manager,Mark Hughes sacked; Roberto Mancini appointed
2011,May,Trophy,FA Cup
2013,Jun,Manager,Roberto Mancini sacked; Manuel Pellegrini appointed
2014,Mar,Trophy,League Cup
2016,Feb,Trophy,League Cup
2016,Jul,Manager,Manuel Pellegrini sacked; Pep Guardiola appointed
