Year,In,FeeIn,GIn,DIn,MIn,FIn,Out,FeeOut,GOut,DOut,MOut,FOut,Net
2015,9,141000000,0,1,4,4,11,58000000,0,3,5,3,83000000
2014,7,86000000,1,2,3,1,8,25000000,1,2,4,1,61000000
2013,6,102800000,0,1,3,2,7,12000000,0,4,1,2,90800000
2012,5,54000000,0,2,3,0,12,40000000,2,2,6,2,14000000
2011,7,76000000,1,2,3,1,9,28750000,1,3,2,3,47250000
2010,10,154500000,0,4,4,2,9,37750000,1,2,3,3,116750000
2009,16,125000000,3,5,4,4,12,26000000,1,4,3,4,99000000
2008,16,127700000,2,5,4,5,10,9800000,1,4,1,4,117900000
2007,12,45820000,0,4,4,4,6,6700000,0,0,5,1,39120000
2006,6,2400000,1,0,2,3,9,4800000,2,3,3,1,-2400000
2005,10,9750000,1,2,3,4,6,21000000,1,1,3,1,-11250000
2004,4,0,0,3,1,0,3,7500000,0,0,0,3,-7500000
2003,12,9800000,2,1,8,1,0,0,0,0,0,0,9800000
2002,2,9500000,0,1,0,1,0,0,0,0,0,0,9500000
