Year,Month,Type,Desc
2004,May,Trophy,FA Cup
2005,May,Ownership,Glazer family becomes majority shareholder
2006,Feb,Trophy,League Cup
2008,May,Trophy,Champions League
2008,May,Trophy,FIFA Club World Cup
2009,Feb,Trophy,League Cup
2010,Feb,Trophy,League Cup
2013,May,Manager,Alex Ferguson retires; David Moyes appointed
2014,Apr,Manager,David Moyes sacked; Ryan Giggs appointed (interim manager)
2014,Jul,Manager,Louis Van Gaal appointed
2016,May,Trophy,FA Cup
2016,Jul,Louis Van Gaal sacked, Jose Mourinho appointed

