Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2008,1,Manchester United,68,24,44,90
2008,2,Liverpool,77,27,50,86
2008,3,Chelsea,68,24,44,83
2008,4,Arsenal,68,37,31,72
2008,5,Everton,55,37,18,63
2008,6,Aston Villa,54,48,6,62
2008,7,Fulham,39,34,5,53
2008,8,Tottenham,45,45,51
2008,9,West Ham,42,45,3,51
2008,10,Manchester City,58,50,8,50
2008,11,Wigan,34,45,11,45
2008,12,Stoke,38,55,17,45
2008,13,Bolton,41,53,12,41
2008,14,Portsmouth,38,57,19,41
2008,15,Blackburn,40,60,20,41
2008,16,Sunderland,34,54,20,36
2008,17,Hull City,39,64,25,35
2008,18,Newcastle,40,59,19,34
2008,19,Middlesbrough,28,57,29,32
2008,20,West Brom,36,67,31,32
