Year.Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2011,1,Manchester City,93,29,+64,89
2011,2,Manchester United,89,33,+56,89
2011,3,Arsenal,74,49,+25,70
2011,4,Tottenham,66,41,+25,69
2011,5,Newcastle,56,51,+5,65
2011,6,Chelsea,65,46,+19,64
2011,7,Everton,50,40,+10,56
2011,8,Liverpool,47,40,+7,52
2011,9,Fulham,48,51,-3,52
2011,10,West Brom,45,52,-7,47
2011,11,Swansea,44,51,-7,47
2011,12,Norwich,52,66,-14,47
2011,13,Sunderland,45,46,-1,45
2011,14,Stoke,36,53,-17,45
2011,15,Wigan,42,62,-20,43
2011,16,Aston Villa,37,53,-16,38
2011,17,QPR,43,66,-23,37
2011,18,Bolton,46,77,-31,36
2011,19,Blackburn,48,78,-30,31
2011,20,Wolverhampton,40,82,-42,25
