Year,Net,Team,Pos,Scored,Conceded,Diff,Pts
2015,13200000,Arsenal,3,59,34,25,67
2014,87900000,Arsenal,3,71,36,35,75
2013,32500000,Arsenal,4,68,41,27,79
2012,11100000,Arsenal,4,72,37,35,73
2011,-17950000,Arsenal,3,74,49,25,70
2010,8000000,Arsenal,4,72,43,29,68
2009,-31000000,Arsenal,3,83,41,42,75
2008,-50000,Arsenal,4,68,37,31,72
2007,13200000,Arsenal,3,74,31,43,83
2006,-12700000,Arsenal,4,63,35,28,68
2005,6780000,Arsenal,4,68,31,37,67
2004,1600000,Arsenal,2,87,36,51,83
2003,17500000,Arsenal,1,73,26,47,90
2002,890000,Arsenal,2,85,42,43,78
2015,16800000,Chelsea,9,55,48,7,48
2014,-45700000,Chelsea,1,73,32,41,87
2013,40109000,Chelsea,3,71,27,44,82
2012,67000000,Chelsea,3,75,39,36,75
2011,59150000,Chelsea,6,65,46,19,64
2010,85100000,Chelsea,2,69,33,36,71
2009,18500000,Chelsea,1,103,32,71,86
2008,-10800000,Chelsea,3,68,24,44,83
2007,7500000,Chelsea,2,65,26,39,85
2006,26200000,Chelsea,2,64,24,40,83
2005,58900000,Chelsea,1,72,22,50,91
2004,50150000,Chelsea,1,72,15,57,95
2003,150000000,Chelsea,2,67,30,37,79
2002,500000,Chelsea,4,68,38,30,67
2015,27950000,Manchester United,5,43,31,12,60
2014,108600000,Manchester United,4,62,37,25,70
2013,64600000,Manchester United,7,64,43,21,64
2012,55400000,Manchester United,1,86,43,43,89
2011,40200000,Manchester United,2,89,33,56,89
2010,13900000,Manchester United,1,78,37,41,80
2009,-63000000,Manchester United,2,86,28,58,85
2008,36250000,Manchester United,1,68,24,44,90
2007,25050000,Manchester United,1,80,22,58,87
2006,5300000,Manchester United,1,83,27,56,89
2005,13500000,Manchester United,2,72,34,38,83
2004,21350000,Manchester United,3,58,26,32,77
2003,13150000,Manchester United,3,64,35,29,75
2002,25550000,Manchester United,1,74,34,40,83
2015,94000000,Manchester City,4,71,41,30,66
2014,61000000,Manchester City,2,83,38,45,79
2013,90800000,Manchester City,1,102,37,65,86
2012,14000000,Manchester City,2,66,34,32,78
2011,47250000,Manchester City,1,93,29,64,89
2010,116750000,Manchester City,3,60,33,27,71
2009,99000000,Manchester City,5,73,45,28,67
2008,117900000,Manchester City,10,58,50,8,50
2007,39120000,Manchester City,9,47,54,7,51
2006,-2400000,Manchester City,16,55,54,1,41
2005,-11250000,Manchester City,8,47,39,8,52
2004,-7500000,Manchester City,15,43,48,5,43
2003,9800000,Manchester City,14,29,44,15,42
2002,9500000,Manchester City,9,45,53,8,55
2015,23250000,Liverpool,8,59,48,11,55
2014,43130000,Liverpool,8,59,48,11,55
2013,20300000,Liverpool,6,52,48,4,62
2012,39800000,Liverpool,6,52,48,4,62
2011,37100000,Liverpool,2,101,50,51,84
2010,-3100000,Liverpool,2,101,50,51,84
2009,-3800000,Liverpool,7,71,43,28,61
2008,5250000,Liverpool,7,71,43,28,61
2007,36500000,Liverpool,8,47,40,7,52
2006,14440000,Liverpool,8,47,40,7,52
2005,21400000,Liverpool,6,59,44,15,58
2004,29300000,Liverpool,6,59,44,15,58
2003,4250000,Liverpool,7,61,35,26,63
2002,-34800000,Liverpool,7,61,35,26,63
